emp_nom_complet,emp_date_naissance,emp_date_entree,emp_adresse,emp_tel,emp_mail,emp_contrat,emp_poste,mag_id
Sean Giddons,1993-03-18,1993-03-18,86 La Follette Junction,0767779656,sgiddons0@nps.gov,29,Responsable,1
Waiter Weston,1999-08-14,1999-08-14,9582 Gulseth Point,0767779656,wweston1@wikia.com,17,Manager,2
Reinwald Mebs,1999-08-20,1999-08-20,1 Melrose Drive,0767779656,rmebs2@nbcnews.com,14,Livreur,3
Hershel Yarnley,1999-05-20,1999-05-20,4995 Grasskamp Plaza,0767779656,hyarnley3@opera.com,37,Polyvalent,4
Aubert Mounfield,1993-09-24,1993-09-24,09 Menomonie Alley,0767779656,amounfield4@about.me,19,Manager,1
Arlette Patchett,1997-07-17,1997-07-17,55 Coleman Drive,0767779656,apatchett5@parallels.com,24,Livreur,2
Nadine Asson,1993-03-23,1993-03-23,04 Sloan Road,0767779656,nasson6@g.co,13,Polyvalent,3
Fianna Schimpke,2000-08-31,2000-08-31,7809 Graceland Avenue,0767779656,fschimpke7@studiopress.com,37,Polyvalent,4
Colby Rankin,1999-01-29,1999-01-29,03 Daystar Way,0767779656,crankin8@barnesandnoble.com,27,Responsable,1
Gabie Dunridge,2000-03-27,2000-03-27,216 Drewry Parkway,0767779656,gdunridge9@mapquest.com,32,Polyvalent,2
Norrie Pimlett,1996-07-19,1996-07-19,56 Crownhardt Way,0767779656,npimletta@princeton.edu,13,Manager,3
Maggee Flux,1999-11-27,1999-11-27,87420 Emmet Terrace,0767779656,mfluxb@howstuffworks.com,28,Livreur,4
Dyna Gudge,1993-06-16,1993-06-16,0 Pierstorff Park,0767779656,dgudgec@blogger.com,37,Livreur,1
Quinton Lomaz,1999-04-24,1999-04-24,3 Lien Point,0767779656,qlomazd@t.co,35,Manager,2
Claiborn Rennels,1996-11-18,1996-11-18,98827 Lotheville Hill,0767779656,crennelse@over-blog.com,20,Responsable,3
Vinita Dawidowicz,1996-11-19,1996-11-19,230 Summer Ridge Parkway,0767779656,vdawidowiczf@skype.com,28,Manager,4
Chiarra Gerty,1993-04-21,1993-04-21,52277 Clove Alley,0767779656,cgertyg@admin.ch,18,Polyvalent,1
Alie Hendricks,1997-07-19,1997-07-19,7 Autumn Leaf Hill,0767779656,ahendricksh@ning.com,22,Livreur,2
Nowell Currington,1997-06-05,1997-06-05,313 Nancy Terrace,0767779656,ncurringtoni@ocn.ne.jp,37,Polyvalent,3
Patrick Iacapucci,1999-02-25,1999-02-25,83024 Eggendart Pass,0767779656,piacapuccij@photobucket.com,11,Responsable,4
